symbol,marketcap,outstanding_shares
A,40794359003,300112992
AA,15878647411,184420992
AAL,11003262000,649160000
AAON,2787287910,52570500
AAP,13292201538,61091100
AAPL,2809221504983,16319399936
AAT,2183698704,60523800
AAWW,1966216610,29215700
AB,4764048691,99271696
ABB,61327676974,1929149952
ABBV,306060987310,1766279936
ABC,34072598737,209136992
ABCB,2820520750,69676896
ABCM,4406613904,228915008
ABG,3569854180,23188400
ABM,3188318688,66869100
ABMD,14452303824,45516200
ABR,2672449920,159264000
ABT,217560535496,1763480064
ACA,2683781595,48312900
ACAD,4362180240,161204000
ACC,7920815985,139156992
ACCD,1074012736,66958400
ACEL,1106158072,92798496
ACGL,17928412160,378556000
ACGLO,9533536929,402939008
ACH,9736970214,680907008
ACI,17358574800,499240000
ACIW,3068756880,115064000
ACLS,2049351200,33182500
ACM,10743482038,141343008
ACMR,1022561376,53649600
ACN,216477467972,633401024
ADBE,213910200000,472500000
ADC,4820466978,71382600
ADCT,1095317673,76810496
ADI,84384545040,523315008
ADM,52861683944,562478016
ADNT,3138663168,94766400
ADP,100180730592,420044992
ADPT,1866077120,141584000
ADSK,44498159160,217308000
ADT,6122659629,856316032
ADUS,1425151680,15952000
ADV,1899158442,318116992
ADX,2151557540,117829000
AEE,24983305600,258092000
AEG,10891280000,1998400000
AEIS,3045634983,37558700
AEL,3590998368,96949200
AEM,28692869764,455587008
AEO,2677834120,168842000
AEP,52155024217,504547008
AER,11990000091,245395008
AES,16838376052,667395008
AFG,12441947532,85090600
AFL,42319312560,649368000
AG,3426596940,260182000
AGCO,10096646717,74541504
AGI,3339899708,392007008
AGIO,1620548250,54637500
AGNC,6555159600,522740000
AGNCM,11769002160,477832000
AGNCN,11611317600,477832000
AGO,3895500020,65691400
AGR,18316064882,386577984
AHCO,2086302220,133909000
AIG,49713251680,806248000
AIMC,2268610817,65059100
AIN,2615706000,31860000
AIR,1734845343,35196700
AIT,3879491720,38456500
AIV,1063315320,152556000
AIZ,10718758216,57708400
AJG,38034460300,209614000
AJRD,3473871346,80544200
AKAM,19201924385,160900992
AKR,1950077604,93618704
AL,4825877760,114249000
ALB,24810177200,117112000
ALC,39819569400,490087008
ALE,3723078304,56988800
ALEC,1102614912,82039800
ALEX,1628040960,72680400
ALG,1624929358,11936600
ALGM,4825714740,189914000
ALGN,33269979336,78805200
ALGT,2722776960,18112000
ALK,6733045800,126087000
ALKS,4795901853,161968992
ALL,39082559613,278345984
ALLE,9568586880,88230400
ALLO,1293333120,142752000
ALLY,13990630792,331452992
ALNY,19586495500,120718000
ALRM,3127319635,50318900
ALSN,3523336080,97061600
ALTR,3187077520,51906800
ALV,6447783904,87534400
ALX,1302410023,5107290
AM,5173306977,477683008
AMAT,108127548979,883395008
AMBA,3570905793,38065300
AMC,10128000584,513329984
AMCR,17453307453,1513730048
AMCX,1160910086,30891700
AMD,168789779200,1627360000
AME,30583924358,231171008
AMED,5438622297,32525700
AMEH,2085817392,45030600
AMG,5371290855,39778500
AMGN,140170775547,557028992
AMH,14266488960,347624000
AMK,1602213117,73563504
AMKR,4747957740,244614000
AMN,4760715336,45970600
AMOV,70092856548,3210850048
AMP,31989926100,110577000
AMPH,1934060973,48146900
AMRC,2550906052,33724300
AMRN,1400485084,396737984
AMRS,1418079336,317955008
AMT,121142318924,455884992
AMX,69996531046,3210850048
AMZN,1605753922360,508844000
AN,6145752024,61371600
ANAT,5092166808,26887200
ANDE,1790817182,33987800
ANET,40815586000,307300000
ANF,1600784634,50625700
ANSS,27074688727,87026096
ANTM,124154519760,241236000
AON,71348184560,213944000
AOS,8299333170,131049000
AOSL,1255781948,26707400
APA,14224007328,346927008
APAM,2546863179,66515100
APD,55733000279,221716992
APG,4637585220,232576992
APH,44303594167,598940032
API,1043997710,115871000
APLE,3783535038,228888992
APO,34602000000,600000000
APOG,1121682705,24865500
APPF,2220610737,20003700
APPN,2283637736,40735600
APPS,3902688300,96961200
APTS,1390580765,55734700
APTV,29860252182,270915008
AQN,10738538772,673684992
AQUA,5313774500,120850000
AR,9919564892,314707008
ARCB,1743116400,24592500
ARCH,2194919776,15476800
ARCO,1035995320,130478000
ARE,32557998708,159943008
ARES,13692720640,171159008
ARGO,1462193799,34888900
ARGX,17832024522,54238600
ARI,1860762734,140540992
ARLP,1947355450,127195000
ARMK,9111122080,256796000
ARNC,2642429000,105025000
AROC,1450464640,155296000
ARQT,1036322771,50380300
ARRY,1550278020,148922000
ARVN,3721749456,53046600
ARW,7473443600,67026400
ARWR,5168594600,105460000
ASAN,3774588290,103669000
ASB,3241202400,149640000
ASGN,5841636000,51600000
ASH,5544791156,56223800
ASIX,1361752668,28141200
ASML,251747020595,402601984
ASND,6506840356,56937700
ASO,3355093896,87145296
ASPN,1072227285,35824500
ASR,6198000000,30000000
ASX,14833457211,2140470016
ATCO,3290146560,247008000
ATEC,1248330366,99786600
ATEN,1019101296,76394400
ATEX,1065927949,18374900
ATGE,1309913088,45107200
ATHM,3813139800,124980000
ATI,3454461150,124845000
ATKR,4047814464,44856100
ATO,16368311520,135432000
ATR,7866816000,65556800
ATRC,2854575934,46026700
ATRI,1322970749,1795100
ATSG,2153922440,74222000
ATUS,3224929435,270320992
ATVI,62428202833,779281024
AU,9704589834,417940992
AUB,2673464640,75521600
AUPH,1716846480,141654000
AUY,5564247807,961009984
AVA,3324423180,72191600
AVAL,5079748946,1113980032
AVAV,2594824345,24914300
AVB,34845763680,139752000
AVGO,246213852226,408280992
AVID,1541906800,44680000
AVLR,8375092218,87486600
AVNS,1599821580,47318000
AVNT,4196379960,91424400
AVT,3730909021,98963104
AVTR,19742945165,610291968
AVY,14308409127,82355296
AVYA,1036120429,84927904
AWI,4362341865,47084100
AWK,31105207051,181752992
AWR,3332475080,36945400
AX,2471708926,59501900
AXNX,3007126280,46957000
AXP,138121945087,757289024
AXS,4917849388,85275696
AXSM,1700665720,38476600
AXTA,5577399521,224532992
AY,3952652650,112451000
AYI,5724093612,34580400
AYX,4343201928,59873200
AZEK,3454313302,155040992
AZN,220053595692,3098909952
AZO,42786090351,19848900
AZPN,11185883600,66662000
AZRE,1054173445,64161500
AZUL,1788323040,115227000
AZZ,1165248513,24692700
B,1923863865,50694700
BA,105070822721,590385024
BABA,280225628337,2687500032
BAC,317674841702,8064860160
BAH,11907934880,133258000
BAK,7634272787,398032992
BALY,1450396605,52041500
BAM,88264141701,1567190016
BANC,1130884447,62239100
